,id,user_id,created_at,text,Clean,Translate,Labels
10,1.07E+18,annisa_rianti,11/23/2018 12:23,"Baru nonton Fantastic Beast. Cerita tetap sama, tapi gue pribadi ngerasa lebih puas liat yg skrg karena nonton di XXI bukan CGV",  baru    nonton    fantastic    beast         cerita    tetap    sama         tapi    saya    pribadi    merasa    lebih    puas    lihat    yang    sekarang    karena    nonton    di    xxi    bukan    cgv  ,just watching fantastic beast stories remains the same but I personally feel more satisfied seeing what is now because watching on xxi is not cgv,positif
11,1.07E+18,faixkar,11/23/2018 11:59,Semoga hari Senin masih ada Fantastic Beast di IMAX 3D 😥,  semoga    hari    senin    masih    ada    fantastic    beast    di    imax    3d     sad but relieved face   ,I hope Monday there will still be fantastic beast on IMAX Sad But Relieved Face,positif
12,1.07E+18,agngbdmn,11/23/2018 9:31,"trailer the lion king cu bet, eh fantastic beast belum ;,(",  trailer    the    lion    king    lucu    sangat         eh    fantastic    beast    belum                 ,funny trailer the lion king is very fantastic fantastic beast yet,positif
13,1.07E+18,alynurrahmann,11/23/2018 6:13,&lt;~~ sepanjang nonton fantastic beast masuk angin. Setengah mampus nahan sendawa dan kentut.,             sepanjang    nonton    fantastic    beast    masuk    angin         setengah    mampus    nahan    sendawa    dan    kentut       ,as long as the fantastical beast came in half the wind blowing through the bustle and fart,neutral
14,1.07E+18,__geger,11/22/2018 16:42,"Setelah nonton Fantastic Beast 2, gw sangat yakin klo Grindelwald itu sarjana komunikasi",  setelah    nonton    fantastic    beast    2         saya    sangat    yakin    kalau    grindelwald    itu    sarjana    komunikasi  ,After watching Fantastic Beast 2 I was very confident that Grindelwald was a bachelor of communication,neutral
15,1.07E+18,hello_naa,11/22/2018 15:12,Beloooom nontoooon fantastic beast..... knp premiere nya di tanggal2 keramat.,  belum    nonton    fantastic    beast             kenapa    premiere    nya    di    tanggal tanggal    keramat       ,"I haven't watched fantastic beast, why is the premiere on the sacred date",negatif
16,1.07E+18,Tiffanyalvz,11/22/2018 14:11,Sumpah w nntn fantastic beast ga ngerti jalan ceritanya wkwkwk. Maaf ya,  sumpah    saya    nonton    fantastic    beast    tidak    mengerti    jalan    ceritanya    wkwkwk         maaf    ya  ,"I swear I watched fantastic beast, I don't understand the story, I'm sorry",negatif
17,1.07E+18,luthfirama_,11/22/2018 14:10,Fantastic beast kali ini cukup mengecewakan krn cerita yang kurang dikembangkan. Semua ini adalah opini pirbadi dan hasil menonton,  fantastic    beast    kali    ini    cukup    mengecewakan    karena    cerita    yang    kurang    dikembangkan         semua    ini    adalah    opini    pirbadi    dan    hasil    menonton  ,fantastic beast this time was quite disappointing because the stories that were not developed were all personal opinions and the results of watching,negatif
18,1.07E+18,gerrykusuma13,11/22/2018 13:53,"#spoileralert Fantastic beast 2 sekilas jalan ceritanya seperti drama sinetron indosiar, ""putra yang tertukar""",   spoileralert    fantastic    beast    2    sekilas    jalan    ceritanya    seperti    drama    sinetron    indosiar              putra    yang    tertukar       ,spoileralert fantastic beast 2 at a glance the storyline is like the drama of the indosiar soap opera son who was swapped,negatif
19,1.07E+18,kalamfthr,11/22/2018 11:53,"fantastic beast, bohemian, terus ada lagi robin hood. kasian dong dompet saya lama lama🙃🙃🙃",  fantastic    beast         bohemian         terus    ada    lagi    robin    hood         kasihan    dong    dompet    saya    lama    lama     upside down face      upside down face      upside down face   ,the fantastic bohemian beast continues robin hood pity my wallet upside down face for a long time upside down face upside down face,positif
20,1.07E+18,ineedspacexx,11/22/2018 9:50,akhirnya udah nonton fantastic beast 😆,  akhirnya    sudah    nonton    fantastic    beast     grinning squinting face   ,finally I watched fantastic beast grinning squinting face,positif
21,1.07E+18,tdprima,11/22/2018 7:25,"Nonton bioskop sendiri itu hal yg wajar ga sih, pgen nonton fantastic beast tapi ya gitu ga ada temen yg paham ama filmnya. 😥",  nonton    bioskop    sendiri    itu    hal    yang    wajar    tidak    sih         ingin    nonton    fantastic    beast    tapi    ya    begitu    tidak    ada    temen    yang    paham    sama    filmnya          sad but relieved face   ,"watching the cinema itself is a natural thing, I don't want to watch fantastic beast, but yes, there are no friends who understand the same film sad but relieved face",negatif
22,1.07E+18,annisa_rianti,11/22/2018 7:19,Fix kayanya sekumpulan cast Fantastic Beast (yg cowok) lagi be usaha mengembalikan nama baik Johnny Depp,  fix    kayanya    sekumpulan    cast    fantastic    beast         yang    cowok         lagi    berusaha    mengembalikan    nama    baik    johnny    depp  ,fix the fantastic set of fantastic beast casts that guys are trying to restore the good name of Johnny Depp,neutral
23,1.07E+18,farhanalv,11/22/2018 3:55,Sebelum saka agari enaknya suzana apa fantastic beast ya,  sebelum    saka    agari    enaknya    suzana    apa    fantastic    beast    ya  ,"before Saka, how nice it is, Suzuki is fantastic beast",neutral
24,1.07E+18,florenciasendy,11/22/2018 2:26,Efek fantastic beast jadi nonton ulang harry potter sedari awal~,  efek    fantastic    beast    jadi    nonton    ulang    harry    potter    sedari    awal   ,"fantastic beast effect, so watch Harry Potter again from the start",positif
25,1.07E+18,3d4c26b763cc88f,11/21/2018 19:09,rewatched Fantastic Beast and Tina still stunning,  rewatched    fantastic    beast    and    tina    still    stunning  ,rewatched    fantastic    beast    and    tina    still    stunning,positif
26,1.07E+18,Maria_Toyet,11/21/2018 18:03,Penggemar Harry Potter psti gemes bgt sama Fantastic Beast :The Crime of Grindelwarld 🤗,  penggemar    harry    potter    pasti    gemas    sangat    sama    fantastic    beast         the    crime    of    grindelwarld     hugging face   ,Harry Potter fans must be very nervous about the fantastic beast the crime of grind warld hugging face,positif
27,1.07E+18,Paansihu,11/21/2018 17:49,"2jam nonton fantastic beast. Keluar2 melongo ""Kita nonton apaan sih?""",  2 jam    nonton    fantastic    beast         keluar2    melongo         kita    nonton    apaan    sih            ,"2 hours watching fantastic beast coming out and watching, what the hell are we watching",negatif
28,1.07E+18,_tiabcd,11/21/2018 17:08,Jalan cerita Fantastic Beast yg kedua ini macam k-drama genre makjang.. 😂,  jalan    cerita    fantastic    beast    yang    kedua    ini    macam    k         drama    genre    makjang           face with tears of joy   ,"This second fantastic beast storyline is like a big genre drama, face with tears of joy",neutral
29,1.07E+18,gitanp_,11/21/2018 16:36,Fantastic beast tidak yah...,  fantastic    beast    tidak    iya         ,fantastic beast no yes,neutral
30,1.07E+18,meivianaency,11/21/2018 15:18,"Cuy 
Fantastic Beast Crime of Grindelwald bikin mikir subhanallah, aku sakit mental",  cuy    fantastic    beast    crime    of    grindelwald    bikin    mikir    subhanallah         aku    sakit    mental  ,cuy fantastic beast crime of grindelwald makes me think subhanallah I'm mentally ill,neutral
31,1.07E+18,inisihfree,11/21/2018 14:11,FANTASTIC BEAST KEREN BANGET GILSSS,  fantastic    beast    keren    sangat    gila  ,fantastic cool beast is very crazy,positif
32,1.07E+18,nchiehanie1,11/21/2018 13:12,"Enaknya malam2  gini sepulang kerja bikin suki sendiri sambil dengerin anak cerita  Film Fantastic Beast 2, 

#PesonaJAFFFilmFest",  enaknya    malam malam    gini    sepulang    kerja    bikin    suki    sendiri    sambil    dengerin    anak    cerita    film    fantastic    beast    2          pesonajafilmfest  ,good night at night this time after work make my own suki while listening to the children of the fantastic movie story beast 2 pesonajafilmfest,positif
33,1.07E+18,fajaraufar,11/21/2018 11:28,"Gantung bgst 😭
Ini Fantastic Beast bukan serial netflix kan yak?",  gantung    bgst     loudly crying face     ini    fantastic    beast    bukan    serial    netflix    kan    yak       ,"hanging up loudly crying face this fantastic beast is not a netflix series, isn't it yak",negatif
34,1.07E+18,khrisnaBK,11/21/2018 10:59,Suka sm karakter Newt di Fantastic Beast karena dia penyayang hewan,  suka    sama    karakter    newt    di    fantastic    beast    karena    dia    penyayang    hewan  ,likes the newt character on a fantastic beast because he's an animal lover,positif
35,1.07E+18,niahae30,11/21/2018 3:37,Kemarin gagal ntn fantastic beast hehe 😂😂😂,  kemarin    gagal    nonton    fantastic    beast    hehe     face with tears of joy      face with tears of joy      face with tears of joy   ,kemarin    gagal    nonton    fantastic    beast    hehe     face with tears of joy      face with tears of joy      face with tears of joy,negatif
36,1.07E+18,Grumpy_Kitttens,11/21/2018 1:23,"Fantastic Beast 2 was beautifully made movie, most of the characters were great, but Story/plot 🚮",  fantastic    beast    2    was    beautifully    made    movie         most    of    the    characters    were    great         but    story         plot     litter in bin sign   ,fantastic    beast    2    was    beautifully    made    movie         most    of    the    characters    were    great         but    story         plot     litter in bin sign,positif
37,1.07E+18,andanifd,11/21/2018 1:07,"nagini looks so pretty and sweet in fantastic beast, just how did she ends up with voldemort",  nagini    looks    so    pretty    and    sweet    in    fantastic    beast         just    how    did    she    ends    up    with    voldemort  ,nagini    looks    so    pretty    and    sweet    in    fantastic    beast         just    how    did    she    ends    up    with    voldemort,positif
38,1.06E+18,pikopikoe,11/20/2018 19:24,/casually dodging myself for every spoiler-alike of fantastic beast bcs I haven't watched it yet/,       casually    dodging    myself    for    every    spoiler         alike    of    fantastic    beast    because    i    haven t    watched    it    yet   ,casually    dodging    myself    for    every    spoiler         alike    of    fantastic    beast    because    i    haven t    watched    it    yet,positif
39,1.06E+18,EdwinPahlevi,11/20/2018 18:16,"Pengalaman saya setelah menontonton fantastic beast seperti judul lagu bcl, kecewa.",  pengalaman    saya    setelah    menontonton    fantastic    beast    seperti    judul    lagu    bcl         kecewa       ,my experience after watching fantastic beast like the bcl song title was disappointed,negatif
40,1.06E+18,oppaandmoney,11/20/2018 17:54,Yaudah gabut mau cerita pas nonton fantastic beast aja yang tiketnya antri dimana mana heuheu,  ya sudahlah    senggang    mau    cerita    saat    nonton    fantastic    beast    saja    yang    tiketnya    antri    dimana    mana    heuheu  ,"yes, it is free to tell when watching fantastic beast, the ticket is queued wherever heuheu",negatif
41,1.06E+18,gstkhrsm,11/20/2018 16:38,"OE I DON'T CARE ABOUT THE RATINGS AND SHIT, TO FANTASTIC BEAST 2 KEREN JIR.",  oe    i    don t    care    about    the    ratings    and    shit         to    fantastic    beast    2    keren    jir       ,oe    i    don t    care    about    the    ratings    and    shit         to    fantastic    beast    2    keren    jir,positif
42,1.06E+18,ediedires,11/20/2018 16:26,Fantastic beast boljug nih,  fantastic    beast    boleh juga    ini  ,fantastic beast can be this too,positif
43,1.06E+18,ngurahsaka,11/20/2018 15:55,Aku belum nnton fantastic beast,  aku    belum    nnton    fantastic    beast  ,I'm not fantastic beast yet,negatif
44,1.06E+18,mamatrizky,11/20/2018 15:51,Tinggal suzanna dan fantastic beast yg blm gw tonton zzzz,  tinggal    suzanna    dan    fantastic    beast    yang    belum    saya    tonton    z  ,living in suzanna and fantastic beast that I haven't watched z,negatif
45,1.06E+18,DhestHaha,11/20/2018 14:30,Kumau diajakin nnton Fantastic Beast :(,  kumau    diajakin    nnton    fantastic    beast        ,I want to be sure not to be a fantastic beast,positif
46,1.06E+18,amirasf14,11/20/2018 14:28,"Selama nonton Fantastic Beast, aku tersepona dengan aktingnya my luvly Johnny Depp.",  selama    nonton    fantastic    beast         aku    tersepona    dengan    aktingnya    my    lovely    johnny    depp       ,during watching fantastic beast I was surprised by my acting my lovely Johnny Depp,positif
47,1.06E+18,gaskafedi,11/20/2018 13:56,Yang mau nonton Fantastic Beast mending minta abangnya cepetin di scene-scene yang ada Nagini aja. Sisanya minim faedah,  yang    mau    nonton    fantastic    beast    mending    minta    abangnya    mempercepat    di    scene         scene    yang    ada    nagini    saja         sisanya    minim    faedah  ,those who want to watch fantastic beast need to ask his brother to speed up in the scene scene that there is only the rest of it is of little use,negatif
48,1.06E+18,fyeahchmin,11/20/2018 13:51,I wanna watch Fantastic Beast; The Crime of Grindelwald agaaiiinnnn.,  i    wanna    watch    fantastic    beast         the    crime    of    grindelwald    agaain       ,i wanna watch fantastic beast the crime of grindelwald again,positif
49,1.06E+18,jbeoming,11/20/2018 13:50,"Just watched fantastic beast today, and iM SO HAPPY BCS FINALLY MET MY SON, CREDENCE AFTER 2 YEARS TIRED OF WAITING.",  just    watched    fantastic    beast    today         and    im    so    happy    because    finally    met    my    son         credence    after    2    years    tired    of    waiting       ,just    watched    fantastic    beast    today         and    im    so    happy    because    finally    met    my    son         credence    after    2    years    tired    of    waiting,positif
50,1.06E+18,sipietz,11/20/2018 13:41,Baru ngeh.. Ezra Miller itu the flash di justice league.. Yg jadi credence di fantastic beast..,  baru    sadar          ezra    miller    itu    the    flash    di    justice    league          yang    jadi    credence    di    fantastic    beast        ,just realized ezra miller was the flash in justice league which became a credential on fantastic beast,neutral
51,1.06E+18,EsterEnjelita16,11/20/2018 13:22,Nonton fantastic beast yang ke 3 kali nya. Kenapa selalu mau nonton ya :((((,  nonton    fantastic    beast    yang    ke    3    kali    nya         kenapa    selalu    mau    nonton    ya               ,"watch the 3rd fantastic beast, why do you always want to watch?",positif
52,1.06E+18,fathikhairina,11/20/2018 12:25,Sebel bgt nntn fantastic beast mbak2 disamping ngomul dr awal ampe akhir. Bilang filmnya gajelas. Yg ga jls tu lu mbak blegug maneh,  sebel    sangat    nonton    fantastic    beast    mbak2    disamping    berisik    dari    awal    sampai    akhir         bilang    filmnya    tidak jelas         yang    tidak    jelas    itu    kamu    mbak    goblok    kamu  ,sebel very watching fantastic beast mbak2 besides noisy from the beginning to the end says the film is not clear which is not clear it is you mbak goblok you,positif
53,1.06E+18,jaehyunjunhui,11/20/2018 10:47,Asique besok kelas ditiadakan apa w nonton fantastic beast aja ya besok umMMMmmmM,  asyik    besok    kelas    ditiadakan    apa    saya    nonton    fantastic    beast    saja    ya    besok    um  ,tomorrow's class is eliminated if I just watch fantastic beast tomorrow tomorrow um,positif
54,1.06E+18,Heyputrii,11/20/2018 10:45,"Wanna see if Newt and Harry meet each other. Hm Harry Potter and the Fantastic Beast Reunion
*Not bad*🦁🦔🐍🦅🦉👨‍🏫",  wanna    see    if    newt    and    harry    meet    each    other         hm    harry    potter    and    the    fantastic    beast    reunion         not    bad      lion face      U0001f994     snake      eagle      owl      man      u200d     school   ,wanna    see    if    newt    and    harry    meet    each    other         hm    harry    potter    and    the    fantastic    beast    reunion         not    bad      lion face      U0001f994     snake      eagle      owl      man      u200d     school,positif
55,1.06E+18,ariqyraihan,11/20/2018 9:05,Fantastic Beast 2 has 8 stars from me.,  fantastic    beast    2    has    8    stars    from    me       ,fantastic    beast    2    has    8    stars    from    me,positif
56,1.06E+18,Evermore_melody,11/20/2018 8:55,btw aku kemaren nonton fantastic beast,  by the way    aku    kemaren    nonton    fantastic    beast  ,by the way I was watching fantastic beast yesterday,neutral
57,1.06E+18,meliwiii,11/20/2018 8:40,"Fantastic Beast: The Crimes of Grindelwald dalam 1 kalimat: 

Ezra Miller mencari jati diri.",  fantastic    beast         the    crimes    of    grindelwald    dalam    1    kalimat         ezra    miller    mencari    jati    diri       ,fantastic beast the crimes of grindelwald in 1 sentence ezra miller looking for identity,neutral
58,1.06E+18,meliwiii,11/20/2018 8:22,Fantastic Beast: The Crimes of Grindelwald in IMAX 3D is a wholesome and amazing experience 👍🏻👍🏻👍🏻👍🏻,  fantastic    beast         the    crimes    of    grindelwald    in    imax    3d    is    a    wholesome    and    amazing    experience     thumbs up           thumbs up           thumbs up           thumbs up        ,fantastic    beast         the    crimes    of    grindelwald    in    imax    3d    is    a    wholesome    and    amazing    experience     thumbs up           thumbs up           thumbs up           thumbs up,positif
59,1.06E+18,qieta,11/20/2018 8:18,7.2351 utk fantastic beast 2. Nggak gitu mudeng. 🙊,  7 2351    untuk    fantastic    beast    2         tidak    begitu    paham          speak no evil monkey   ,7 2351 for the fantastic beast 2 don't really understand speak no evil monkey,negatif
60,1.06E+18,lelakikardusss,11/20/2018 8:17,Hambok ayo nonton fantastic beast 😪,  hambok    ayo    nonton    fantastic    beast     sleepy face   ,hanbok let's watch fantastic beast sleepy face,positif
61,1.06E+18,NisaPrilia,11/20/2018 7:58,"Pada ngajakin nonton fantastic beast 2, tapi gue belum nonton yang pertamanya 😭",  pada    mengajak    nonton    fantastic    beast    2         tapi    saya    belum    nonton    yang    pertamanya     loudly crying face   ,to invite watching fantastic beast 2 but I haven't watched the first one which was loudly crying face,positif
62,1.06E+18,IbnAlam,11/20/2018 6:31,Fantastic beast seru ga ya?,  fantastic    beast    seru    tidak    ya       ,fantastic beast exclamation no huh,neutral
63,1.06E+18,legacy99,11/20/2018 6:20,"Huh, seems like Fantastic Beast 2 movie isn't doing so well. That's interesting, I wonder why.",  huh         seems    like    fantastic    beast    2    movie    isn t    doing    so    well         that     s    interesting         i    wonder    why       ,huh         seems    like    fantastic    beast    2    movie    isn t    doing    so    well         that     s    interesting         i    wonder    why,negatif
64,1.06E+18,kdwiw,11/20/2018 5:38,Robin hood dah keluar. Fantastic beast aja rada mager padahal dah nunggu dari awal tahun.,  robin    hood    dah    keluar         fantastic    beast    saja    agak    malas    padahal    dah    tunggu    dari    awal    tahun       ,"Robin Hood has come out fantastic beast, it was rather lazy when I waited from the beginning of the year",negatif
65,1.06E+18,cabbyjoey,11/20/2018 5:08,Fantastic Beast: Crimes of the Grindr World.,  fantastic    beast         crimes    of    the    grindr    world       ,fantastic    beast         crimes    of    the    grindr    world,neutral
66,1.06E+18,mingcu88,11/20/2018 4:55,Fantastic beast... The crimes of grindelwald... Cool... Cgv nya kerennnn,  fantastic    beast           the    crimes    of    grindelwald           cool           cgv    nya    keren  ,fantastic    beast           the    crimes    of    grindelwald           cool           cgv    nya    keren,positif
67,1.06E+18,fitriatriana_,11/20/2018 4:49,Apakah fantastic beast beneran setidak masuk akal itu timelinenya?? .-.,  apakah    fantastic    beast    beneran    setidak    masuk    akal    itu    timelinenya                           ,"is it really a fantastic beast that doesn't make sense, it's the timeline",negatif
68,1.06E+18,superrrhore,11/20/2018 4:14,"Ada suzzana dan fantastic beast, pilihan yg menarik.",  ada    suzzana    dan    fantastic    beast         pilihan    yang    menarik       ,there are suzzana and fantastic beast interesting choices,positif
69,1.06E+18,komangdamagt,11/20/2018 4:04,Benciii banget fantastic beast 2 gantung 🙂,  benci    sangat    fantastic    beast    2    gantung     slightly smiling face   ,hate fantastic beast 2 hanging slightly smiling face,negatif
70,1.06E+18,latchifa,11/20/2018 3:20,sisa uang tinggal 100rb sampe hari jumat. tapi ingin nonton fantastic beast. tapi maunya di cinemaxx. :((,  sisa    uang    tinggal    100    rb    hingga    hari    jumat         tapi    ingin    nonton    fantastic    beast         tapi    maunya    di    cinemaxx              ,the remaining money is 100 rb until Friday but I want to watch fantastic beast but I want it in Cinemaxx,positif
71,1.06E+18,ardiananton,11/20/2018 3:07,"Nonton FANTASTIC BEAST yukkk

#Tangerang",  nonton    fantastic    beast    ayo     tangerang  ,watch fantastic beast come tangerang,positif
72,1.06E+18,hilmanmrch,11/20/2018 2:29,"Fantastic beast, yuk",  fantastic    beast         ayo  ,fantastic    beast         ayo,positif
73,1.06E+18,dadangpml,11/20/2018 2:16,Nonton FANTASTIC BEAST yukkk...... #Tangerang,  nonton    fantastic    beast    ayo               tangerang  ,watch fantastic beast come tangerang,positif
74,1.06E+18,never_mind193,11/20/2018 1:02,I love fantastic beast 😂😂😂,  i    love    fantastic    beast     face with tears of joy      face with tears of joy      face with tears of joy   ,i    love    fantastic    beast     face with tears of joy      face with tears of joy      face with tears of joy,positif
75,1.06E+18,osmondiet,11/20/2018 0:58,"*baru nonton Fantastic Beast 2 beberapa hari lalu

Tapi masih kepikiran...
Apalagi ngeliat Albus Dumbledore..",       baru    nonton    fantastic    beast    2    beberapa    hari    lalu    tapi    masih    kepikiran           apalagi    ngeliat    albus    dumbledore        ,"I just watched fantastic beast 2 a few days ago but I still think about it, especially seeing Albus Dumbledore",neutral
76,1.06E+18,bungbed,11/20/2018 0:32,weekend wajib movie marathon A man called ahok - Fantastic beast - Suzanna,  weekend    wajib    movie    marathon    a    man    called    ahok         fantastic    beast         suzanna  ,weekend    wajib    movie    marathon    a    man    called    ahok         fantastic    beast         suzanna,positif
77,1.06E+18,RereBS,11/20/2018 0:23,"menonton fantastic beast, ft. mba mba bau keteg disebelah q.

mks loh mba, aga gak konsen sy.",  menonton    fantastic    beast         ft         mba    mba    bau    keteg    disebelah    q     mks    loh    mba         aga    tidak    konsen    saya       ,"watching a fantastic beast ft mba smelling keteg next to the mks loh, let's not concentrate on me",positif
78,1.06E+18,azfiz,11/19/2018 23:56,"Setelah menonton 2 film Fantastic Beast, aku merasa perbedaannya dengan Harry Potter adalah, film tersebut bukan ditujukan untuk anak-anak.",  setelah    menonton    2    film    fantastic    beast         aku    merasa    perbedaannya    dengan    harry    potter    adalah         film    tersebut    bukan    ditujukan    untuk    anak anak       ,after watching 2 fantastic beast movies I felt the difference with Harry Potter was that the film was not intended for children,negatif
79,1.06E+18,Aggungsay,11/19/2018 19:33,bukan binatang biasa = fantastic beast,  bukan    binatang    biasa         fantastic    beast  ,not an ordinary animal fantastic beast,neutral
80,1.06E+18,kevinsantioso_,11/19/2018 18:23,Kecewa dengan fantastic beast. Ekspektasiku dipatahkan begitu saja. Padahal universenya udah menyenangkan banget.,  kecewa    dengan    fantastic    beast         ekspektasiku    dipatahkan    begitu    saja         padahal    universenya    sudah    menyenangkan    sangat       ,"disappointed with the fantastic beast, my expectations were just broken even though the university was very fun",negatif
81,1.06E+18,amindayoka,11/19/2018 18:21,mending nonton fantastic beast deh 💃,  mending    nonton    fantastic    beast    deh     woman dancing   ,better watch fantastic beast and woman dancing,positif
82,1.06E+18,meiisme,11/19/2018 17:53,Ngantuk tapi masih nyisa euforia habis nonton Fantastic Beast.,  ngantuk    tapi    masih    sisa    euforia    habis    nonton    fantastic    beast       ,sleepy but still the rest of the euphoria is gone watching fantastic beast,positif
83,1.06E+18,everytimeblue,11/19/2018 17:35,fantastic beast was fckin awesome and i must wait for the 3rd :(,  fantastic    beast    was    fucking    awesome    and    i    must    wait    for    the    3rd        ,fantastic    beast    was    fucking    awesome    and    i    must    wait    for    the    3rd,positif
84,1.06E+18,muthiaintansari,11/19/2018 17:32,Fantastic beast :((,  fantastic    beast         ,fantastic    beast,negatif
85,1.06E+18,cintamitata,11/19/2018 16:38,"Nyari link buat streaming film fantastic beast , nemu tapi kwalitasnya masih CAM .. iyalah orang filmnya aja masih naik layar 😑",  cari    link    buat    streaming    film    fantastic    beast         ketemu    tapi    kwalitasnya    masih    cam          iyalah    orang    filmnya    saja    masih    naik    layar     expressionless face   ,"looking for a link to stream fantastic beast movies to meet but the quality is still cam, but the movie people still go up the screen expressionless face",positif
86,1.06E+18,EdoZack,11/19/2018 16:30,Kuingin ntn fantastic beast :(,  kuingin    nonton    fantastic    beast        ,I want to watch fantastic beast,positif
87,1.06E+18,novarowisnu,11/19/2018 16:22,setengah sadar nonton fantastic beast,  setengah    sadar    nonton    fantastic    beast  ,half-conscious watching fantastic beast,positif
88,1.06E+18,slippedtwotimes,11/19/2018 16:13,Yah alamat nongton fantastic beast nunggu di indoxxi,  iya    alamat    nonton    fantastic    beast    tunggu    di    internet  ,yes the address is watching fantastic beast waiting on the internet,negatif
89,1.06E+18,AnnsRzky,11/19/2018 15:57,Ku kalo di bayarin nntn fantastic beast lg jg mao wkwkw,  ku    kalau    di    bayarin    nonton    fantastic    beast    lagi    juga    mao    wkwkw  ,"if I pay, watch fantastic beast again and mao wkwkw",positif
90,1.06E+18,rifqiabdillah_,11/19/2018 15:37,"Fantastic beast, is not that bad imo 🤔 said a potterhead, you might say 🙂",  fantastic    beast         is    not    that    bad    imo     thinking face     said    a    potterhead         you    might    say     slightly smiling face   ,fantastic    beast         is    not    that    bad    imo     thinking face     said    a    potterhead         you    might    say     slightly smiling face,positif
91,1.06E+18,pipitberliani,11/19/2018 15:05,"Jadi intinya fantastic beast yang skrg kita harus ntn lanjutannya entar 
Gemezzz njirrr rrrrrr",  jadi    intinya    fantastic    beast    yang    sekarang    kita    harus    nonton    lanjutannya    nanti    gemez    njir    rr  ,"so it's basically a fantastic beast that we now have to watch later, gemez njir rr",positif
92,1.06E+18,giansmashanafie,11/19/2018 15:02,"Selesai nnton fantastic beast ke 2, jadi kangen nnton yg pertama.",  selesai    nnton    fantastic    beast    ke    2         jadi    kangen    nnton    yang    pertama       ,"finished with the fantastic second beast, so missed the first Newton",positif
